Gene stable ID,Gene stable ID version,Gene type,Gene name
ENSG00000222969,ENSG00000222969.1,misc_RNA,RN7SKP8
ENSG00000263399,ENSG00000263399.1,miRNA,MIR3170
ENSG00000269189,ENSG00000269189.1,sense_intronic,RP11-573N10.1
ENSG00000269599,ENSG00000269599.1,antisense,RP11-261P24.2
ENSG00000251299,ENSG00000251299.1,pseudogene,SLC25A15P3
ENSG00000231194,ENSG00000231194.1,antisense,FARP1-AS1
ENSG00000271437,ENSG00000271437.1,pseudogene,RP11-295B17.6
ENSG00000232858,ENSG00000232858.1,pseudogene,RPL34P27
ENSG00000224418,ENSG00000224418.1,antisense,STK24-AS1
ENSG00000256305,ENSG00000256305.1,pseudogene,AL359757.1
ENSG00000217686,ENSG00000217686.2,pseudogene,NUS1P4
ENSG00000234056,ENSG00000234056.1,lincRNA,AMER2-AS1
ENSG00000233549,ENSG00000233549.2,pseudogene,CYCSP35
ENSG00000238169,ENSG00000238169.1,antisense,LINC01053
ENSG00000233662,ENSG00000233662.1,pseudogene,CALM2P4
ENSG00000225105,ENSG00000225105.2,lincRNA,LINC01076
ENSG00000243366,ENSG00000243366.2,misc_RNA,RN7SL60P
ENSG00000235315,ENSG00000235315.2,pseudogene,RPL23AP69
ENSG00000229918,ENSG00000229918.1,antisense,DOCK9-AS1
ENSG00000261530,ENSG00000261530.1,protein_coding,BTC
ENSG00000221324,ENSG00000221324.1,miRNA,AL590787.1
ENSG00000260509,ENSG00000260509.2,lincRNA,RP11-271M24.2
ENSG00000231981,ENSG00000231981.3,pseudogene,RPL7L1P12
ENSG00000234152,ENSG00000234152.1,pseudogene,TCEB2P1
ENSG00000265546,ENSG00000265546.1,misc_RNA,RN7SL289P
ENSG00000260666,ENSG00000260666.1,antisense,AC142293.3
ENSG00000207298,ENSG00000207298.1,snRNA,RNU6-83P
ENSG00000199767,ENSG00000199767.1,snRNA,RNU6-78P
ENSG00000260992,ENSG00000260992.1,antisense,DOCK9-AS2
ENSG00000180803,ENSG00000180803.2,pseudogene,RP11-467D10.2
ENSG00000230871,ENSG00000230871.1,pseudogene,RPS6P23
ENSG00000242381,ENSG00000242381.2,misc_RNA,RN7SL741P
ENSG00000260334,ENSG00000260334.1,protein_coding,GAST
ENSG00000223158,ENSG00000223158.1,misc_RNA,RNY1P3
ENSG00000231983,ENSG00000231983.1,lincRNA,LINC00415
ENSG00000234005,ENSG00000234005.3,pseudogene,GAPDHP22
ENSG00000228889,ENSG00000228889.2,lincRNA,UBAC2-AS1
ENSG00000233963,ENSG00000233963.1,pseudogene,ATP8A2P3
ENSG00000201793,ENSG00000201793.1,misc_RNA,RN7SKP9
ENSG00000218502,ENSG00000218502.3,pseudogene,H2AFZP3
ENSG00000207719,ENSG00000207719.1,miRNA,MIR623
ENSG00000234706,ENSG00000234706.1,pseudogene,PRUNEP1
ENSG00000228808,ENSG00000228808.1,pseudogene,HMGB3P4
ENSG00000271559,ENSG00000271559.1,pseudogene,RP11-380N8.6
ENSG00000238241,ENSG00000238241.1,pseudogene,CCR12P
ENSG00000227882,ENSG00000227882.1,pseudogene,PRKRIRP6
ENSG00000266207,ENSG00000266207.1,miRNA,AL583784.1
ENSG00000203441,ENSG00000203441.2,antisense,LINC00449
ENSG00000234031,ENSG00000234031.1,pseudogene,RPS3AP44
ENSG00000212197,ENSG00000212197.1,misc_RNA,RNY3P6
ENSG00000234168,ENSG00000234168.2,lincRNA,LINC01039
ENSG00000237001,ENSG00000237001.2,antisense,WASF3-AS1
ENSG00000234239,ENSG00000234239.1,pseudogene,CFL1P8
ENSG00000230256,ENSG00000230256.1,pseudogene,FGFR1OP2P1
ENSG00000223782,ENSG00000223782.1,pseudogene,RPS21P8
ENSG00000263615,ENSG00000263615.1,miRNA,MIR4306
ENSG00000218198,ENSG00000218198.2,pseudogene,RPS20P32
ENSG00000227659,ENSG00000227659.1,antisense,CLYBL-AS2
ENSG00000232162,ENSG00000232162.1,antisense,USP12-AS1
ENSG00000234303,ENSG00000234303.2,antisense,CLYBL-AS1
ENSG00000230641,ENSG00000230641.1,antisense,USP12-AS2
ENSG00000234772,ENSG00000234772.1,antisense,LINC00412
ENSG00000201245,ENSG00000201245.1,snoRNA,SNORA25
ENSG00000238305,ENSG00000238305.1,snoRNA,snoU13
ENSG00000207500,ENSG00000207500.1,snoRNA,SNORD102
ENSG00000260738,ENSG00000260738.1,antisense,LINC00554
ENSG00000207051,ENSG00000207051.1,snoRNA,SNORA27
ENSG00000221756,ENSG00000221756.1,miRNA,AL159977.1
ENSG00000225999,ENSG00000225999.1,pseudogene,NDUFA12P1
ENSG00000252247,ENSG00000252247.1,snRNA,RNU6-70P
ENSG00000229609,ENSG00000229609.1,lincRNA,LINC01079
ENSG00000236554,ENSG00000236554.1,pseudogene,ASNSP3
ENSG00000201242,ENSG00000201242.1,misc_RNA,RNY1P1
ENSG00000203602,ENSG00000203602.1,pseudogene,AL137059.1
ENSG00000252499,ENSG00000252499.1,snRNA,RNU6-63P
ENSG00000228501,ENSG00000228501.2,pseudogene,RPL15P18
ENSG00000226703,ENSG00000226703.1,pseudogene,NPM1P4
ENSG00000261125,ENSG00000261125.1,protein_coding,HAP1
ENSG00000270632,ENSG00000270632.1,pseudogene,RP11-340C20.3
ENSG00000207330,ENSG00000207330.1,snRNA,RNU6-73P
ENSG00000234650,ENSG00000234650.1,antisense,PCCA-AS1
ENSG00000247381,ENSG00000247381.2,antisense,PDX1-AS1
ENSG00000260704,ENSG00000260704.1,lincRNA,LINC00543
ENSG00000242360,ENSG00000242360.2,misc_RNA,RN7SL272P
ENSG00000224356,ENSG00000224356.3,sense_intronic,RP11-151A6.4
ENSG00000271026,ENSG00000271026.1,pseudogene,KATNBL1P1
ENSG00000235115,ENSG00000235115.2,pseudogene,CHCHD2P8
ENSG00000234354,ENSG00000234354.2,pseudogene,RPS26P47
ENSG00000261485,ENSG00000261485.1,antisense,PAN3-AS1
ENSG00000237082,ENSG00000237082.1,pseudogene,COX5BP6
ENSG00000232587,ENSG00000232587.1,pseudogene,EEF1A1P3
ENSG00000200840,ENSG00000200840.1,snRNA,RNU6-82P
ENSG00000233009,ENSG00000233009.1,antisense,NALCN-AS1
ENSG00000235472,ENSG00000235472.1,pseudogene,EIF4A1P7
ENSG00000202237,ENSG00000202237.1,snRNA,RNU6-53P
ENSG00000214051,ENSG00000214051.3,pseudogene,ARF4P3
ENSG00000233588,ENSG00000233588.1,pseudogene,CYP51A1P2
ENSG00000229599,ENSG00000229599.1,lincRNA,LINC00411
ENSG00000236339,ENSG00000236339.1,pseudogene,POM121L13P
ENSG00000272349,ENSG00000272349.1,lincRNA,RP11-397O8.7
ENSG00000221670,ENSG00000221670.1,miRNA,AL596092.1
ENSG00000201155,ENSG00000201155.1,snRNA,RNU1-24P
ENSG00000236758,ENSG00000236758.1,antisense,MTUS2-AS2
ENSG00000215399,ENSG00000215399.2,pseudogene,HMGB3P7
ENSG00000265164,ENSG00000265164.1,miRNA,MIR2681
ENSG00000223460,ENSG00000223460.1,pseudogene,GAPDHP69
ENSG00000229975,ENSG00000229975.1,pseudogene,LIPT1P1
ENSG00000270680,ENSG00000270680.1,pseudogene,RP11-351N4.4
ENSG00000201690,ENSG00000201690.1,misc_RNA,RNY1P2
ENSG00000179141,ENSG00000179141.5,antisense,MTUS2-AS1
ENSG00000264482,ENSG00000264482.1,miRNA,MIR4705
ENSG00000236860,ENSG00000236860.1,pseudogene,RPL39P29
ENSG00000236258,ENSG00000236258.1,pseudogene,TIMM8BP1
ENSG00000224329,ENSG00000224329.2,lincRNA,LINC00297
ENSG00000243319,ENSG00000243319.3,lincRNA,FGF14-IT1
ENSG00000224405,ENSG00000224405.1,antisense,LINC00572
ENSG00000234445,ENSG00000234445.1,antisense,FGF14-AS1
ENSG00000122043,ENSG00000122043.6,lincRNA,LINC00544
ENSG00000272143,ENSG00000272143.1,lincRNA,FGF14-AS2
ENSG00000266505,ENSG00000266505.1,lincRNA,RP11-629E24.2
ENSG00000270581,ENSG00000270581.1,processed_transcript,RP11-811P12.3
ENSG00000261057,ENSG00000261057.1,antisense,LINC00555
ENSG00000224511,ENSG00000224511.1,lincRNA,LINC00365
ENSG00000269942,ENSG00000269942.1,lincRNA,RP11-29B2.5
ENSG00000232117,ENSG00000232117.1,lincRNA,LINC00384
ENSG00000238869,ENSG00000238869.1,snoRNA,snoU13
ENSG00000231633,ENSG00000231633.1,antisense,LINC00283
ENSG00000232643,ENSG00000232643.1,lincRNA,LINC00385
ENSG00000222301,ENSG00000222301.1,misc_RNA,RNY5P8
ENSG00000266816,ENSG00000266816.1,miRNA,AL356750.1
ENSG00000252928,ENSG00000252928.1,snRNA,RNU6-64P
ENSG00000250878,ENSG00000250878.3,pseudogene,METTL21EP
ENSG00000215049,ENSG00000215049.3,pseudogene,PRDX2P1
ENSG00000272542,ENSG00000272542.1,lincRNA,RP11-255P5.2
ENSG00000236463,ENSG00000236463.1,lincRNA,LINC00427
ENSG00000234551,ENSG00000234551.1,lincRNA,RP11-123H22.1
ENSG00000230474,ENSG00000230474.1,pseudogene,ATP6V1G1P7
ENSG00000225823,ENSG00000225823.1,pseudogene,RPL7P45
ENSG00000232307,ENSG00000232307.1,antisense,DAOA-AS1
ENSG00000238121,ENSG00000238121.1,lincRNA,LINC00426
ENSG00000226620,ENSG00000226620.3,processed_transcript,LINC00343
ENSG00000225039,ENSG00000225039.1,lincRNA,LINC01058
ENSG00000261577,ENSG00000261577.1,protein_coding,JUP
ENSG00000252550,ENSG00000252550.1,snoRNA,SNORA25
ENSG00000236444,ENSG00000236444.2,pseudogene,UBE2L5P
ENSG00000222643,ENSG00000222643.1,miRNA,AL603632.1
ENSG00000222682,ENSG00000222682.1,rRNA,RNA5SP38
ENSG00000213411,ENSG00000213411.2,pseudogene,RBM22P2
ENSG00000233532,ENSG00000233532.1,lincRNA,LINC00460
ENSG00000232489,ENSG00000232489.1,pseudogene,MFAP1P1
ENSG00000174418,ENSG00000174418.7,pseudogene,RPL35P9
ENSG00000224117,ENSG00000224117.1,pseudogene,PTPN2P2
ENSG00000272274,ENSG00000272274.1,lincRNA,LINC00551
ENSG00000230156,ENSG00000230156.2,lincRNA,LINC00443
ENSG00000237879,ENSG00000237879.1,lincRNA,LINC00398
ENSG00000227590,ENSG00000227590.1,pseudogene,ATP5G1P5
ENSG00000174408,ENSG00000174408.8,pseudogene,PPIAP24
ENSG00000224743,ENSG00000224743.2,antisense,TEX26-AS1
ENSG00000196777,ENSG00000196777.1,pseudogene,AL162574.1
ENSG00000239050,ENSG00000239050.1,miRNA,AL354741.1
ENSG00000221316,ENSG00000221316.1,miRNA,AL445204.1
ENSG00000201847,ENSG00000201847.1,snoRNA,SNORD31
ENSG00000221650,ENSG00000221650.1,miRNA,MIR1267
ENSG00000221473,ENSG00000221473.2,miRNA,AL138710.1
ENSG00000227248,ENSG00000227248.1,sense_intronic,FAM155A-IT1
ENSG00000223177,ENSG00000223177.1,rRNA,RNA5SP39
ENSG00000232087,ENSG00000232087.1,pseudogene,HCFC2P1
ENSG00000229938,ENSG00000229938.1,antisense,MYO16-AS2
ENSG00000236094,ENSG00000236094.1,lincRNA,LINC00545
ENSG00000236242,ENSG00000236242.1,antisense,MYO16-AS1
ENSG00000238185,ENSG00000238185.1,antisense,RP11-252M21.6
ENSG00000223617,ENSG00000223617.1,lincRNA,LINC00370
ENSG00000230233,ENSG00000230233.1,lincRNA,AF240627.2
ENSG00000230403,ENSG00000230403.1,lincRNA,LINC01066
ENSG00000236053,ENSG00000236053.1,lincRNA,LINC01067
ENSG00000261163,ENSG00000261163.1,protein_coding,LEPREL4
ENSG00000265841,ENSG00000265841.1,miRNA,MIR548X
ENSG00000231894,ENSG00000231894.1,pseudogene,WDR95P
ENSG00000229792,ENSG00000229792.1,lincRNA,LINC00399
ENSG00000221041,ENSG00000221041.2,miRNA,AP001537.1
ENSG00000234854,ENSG00000234854.1,antisense,LINC00676
ENSG00000198618,ENSG00000198618.4,pseudogene,PPIAP22
ENSG00000229427,ENSG00000229427.1,pseudogene,ANKRD26P4
ENSG00000255813,ENSG00000255813.1,pseudogene,AL162497.1
ENSG00000201161,ENSG00000201161.1,misc_RNA,RN7SKP10
ENSG00000231428,ENSG00000231428.2,lincRNA,LINC00396
ENSG00000232193,ENSG00000232193.1,lincRNA,AL157359.4
ENSG00000229715,ENSG00000229715.4,pseudogene,EEF1DP3
ENSG00000226204,ENSG00000226204.1,lincRNA,AL157359.3
ENSG00000265885,ENSG00000265885.1,misc_RNA,RN7SL783P
ENSG00000238629,ENSG00000238629.1,snoRNA,snoU13
ENSG00000235965,ENSG00000235965.2,lincRNA,AP000431.1
ENSG00000224821,ENSG00000224821.5,antisense,COL4A2-AS2
ENSG00000235822,ENSG00000235822.1,lincRNA,LINC01073
ENSG00000229289,ENSG00000229289.1,lincRNA,AP000431.2
ENSG00000237637,ENSG00000237637.1,antisense,FRY-AS1
ENSG00000232814,ENSG00000232814.2,antisense,COL4A2-AS1
ENSG00000226818,ENSG00000226818.1,pseudogene,SLC6A6P1
ENSG00000230633,ENSG00000230633.1,antisense,RP11-37E23.5
ENSG00000255831,ENSG00000255831.1,pseudogene,AL139385.1
ENSG00000231620,ENSG00000231620.1,lincRNA,AP000855.4
ENSG00000215515,ENSG00000215515.2,pseudogene,IFIT1P1
ENSG00000225239,ENSG00000225239.1,pseudogene,RPL21P107
ENSG00000212609,ENSG00000212609.1,snRNA,RNU1-139P
ENSG00000259831,ENSG00000259831.1,lincRNA,LINC00567
ENSG00000212293,ENSG00000212293.1,snoRNA,SNORA16
ENSG00000230198,ENSG00000230198.1,pseudogene,RPL37P4
ENSG00000270008,ENSG00000270008.1,processed_transcript,RP11-298P3.4
ENSG00000229152,ENSG00000229152.1,sense_intronic,ANKRD10-IT1
ENSG00000271486,ENSG00000271486.1,pseudogene,AP000403.3
ENSG00000229336,ENSG00000229336.1,pseudogene,AP000568.2
ENSG00000229800,ENSG00000229800.1,pseudogene,ATP8A2P2
ENSG00000227105,ENSG00000227105.1,pseudogene,PARP1P1
ENSG00000215353,ENSG00000215353.2,pseudogene,C1QBPP
ENSG00000233480,ENSG00000233480.1,lincRNA,AP000946.2
ENSG00000225760,ENSG00000225760.1,lincRNA,LINC00431
ENSG00000233236,ENSG00000233236.1,lincRNA,AP001171.1
ENSG00000225870,ENSG00000225870.1,lincRNA,LINC00368
ENSG00000251851,ENSG00000251851.1,snRNA,RNU6-772P
ENSG00000252963,ENSG00000252963.1,misc_RNA,RN7SKP147
ENSG00000235875,ENSG00000235875.3,antisense,ARHGEF7-AS2
ENSG00000207325,ENSG00000207325.1,misc_RNA,RNY1P4
ENSG00000233676,ENSG00000233676.2,pseudogene,FDPSP6
ENSG00000226968,ENSG00000226968.1,lincRNA,LINC00423
ENSG00000233644,ENSG00000233644.1,sense_intronic,ARHGEF7-IT1
ENSG00000234439,ENSG00000234439.1,pseudogene,KRT18P2
ENSG00000227352,ENSG00000227352.1,antisense,ARHGEF7-AS1
ENSG00000227604,ENSG00000227604.3,pseudogene,TOMM22P3
ENSG00000233206,ENSG00000233206.1,pseudogene,RPS3AP1
ENSG00000221677,ENSG00000221677.2,miRNA,AL161898.1
ENSG00000215881,ENSG00000215881.3,sense_overlapping,RP11-65D24.1
ENSG00000230300,ENSG00000230300.1,sense_intronic,STARD13-IT1
ENSG00000261258,ENSG00000261258.1,protein_coding,FKBP10
ENSG00000226903,ENSG00000226903.1,lincRNA,LINC00354
ENSG00000224924,ENSG00000224924.2,lincRNA,LINC00320
ENSG00000264989,ENSG00000264989.1,miRNA,AL136302.1
ENSG00000200072,ENSG00000200072.1,snoRNA,SNORD44
ENSG00000260385,ENSG00000260385.1,lincRNA,RP11-450H6.3
ENSG00000229520,ENSG00000229520.1,lincRNA,LINC00404
ENSG00000215351,ENSG00000215351.3,pseudogene,PPIAP1
ENSG00000224243,ENSG00000224243.1,lincRNA,LINC00403
ENSG00000226771,ENSG00000226771.1,antisense,AP001136.2
ENSG00000260102,ENSG00000260102.1,lincRNA,LINC01070
ENSG00000221210,ENSG00000221210.1,miRNA,AP001137.1
ENSG00000234730,ENSG00000234730.1,lincRNA,AF241725.4
ENSG00000260343,ENSG00000260343.1,lincRNA,LINC01043
ENSG00000198434,ENSG00000198434.1,pseudogene,AF241725.1
ENSG00000223626,ENSG00000223626.1,lincRNA,LINC01044
ENSG00000237527,ENSG00000237527.1,lincRNA,AF241725.6
ENSG00000264726,ENSG00000264726.1,miRNA,AL162711.1
ENSG00000232684,ENSG00000232684.1,antisense,ATP11A-AS1
ENSG00000238265,ENSG00000238265.1,lincRNA,LINC00317
ENSG00000234603,ENSG00000234603.2,pseudogene,AL356740.1
ENSG00000236581,ENSG00000236581.4,processed_transcript,STARD13-AS
ENSG00000267868,ENSG00000267868.1,lincRNA,RP11-120K24.3
ENSG00000188403,ENSG00000188403.7,IG_V_gene,IGHV1OR15-9
ENSG00000235280,ENSG00000235280.2,antisense,MCF2L-AS1
ENSG00000269356,ENSG00000269356.1,sense_intronic,RP11-120K24.4
ENSG00000233997,ENSG00000233997.1,lincRNA,AP000475.2
ENSG00000269376,ENSG00000269376.1,sense_intronic,RP11-120K24.5
ENSG00000231882,ENSG00000231882.1,antisense,F10-AS1
ENSG00000230371,ENSG00000230371.1,pseudogene,KARSP2
ENSG00000259490,ENSG00000259490.2,IG_V_gene,IGHV3OR15-7
ENSG00000269125,ENSG00000269125.1,antisense,RP11-98F14.11
ENSG00000227075,ENSG00000227075.1,lincRNA,AP000472.3
ENSG00000232662,ENSG00000232662.2,pseudogene,LDHBP1
ENSG00000270961,ENSG00000270961.1,IG_D_gene,IGHD5OR15-5A
ENSG00000225083,ENSG00000225083.1,antisense,GRTP1-AS1
ENSG00000233215,ENSG00000233215.1,lincRNA,AP000472.2
ENSG00000233613,ENSG00000233613.1,antisense,DCUN1D2-AS
ENSG00000271317,ENSG00000271317.1,IG_D_gene,IGHD4OR15-4A
ENSG00000202347,ENSG00000202347.1,snRNA,RNU1-16P
ENSG00000227208,ENSG00000227208.1,pseudogene,LINC00552
ENSG00000270783,ENSG00000270783.1,IG_D_gene,IGHD3OR15-3A
ENSG00000233695,ENSG00000233695.1,antisense,GAS6-AS1
ENSG00000271197,ENSG00000271197.1,IG_D_gene,IGHD2OR15-2A
ENSG00000272695,ENSG00000272695.1,lincRNA,GAS6-AS2
ENSG00000184856,ENSG00000184856.6,lincRNA,LINC00308
ENSG00000227911,ENSG00000227911.3,lincRNA,RP11-141M1.1
ENSG00000237699,ENSG00000237699.1,lincRNA,RP11-199F6.4
ENSG00000271336,ENSG00000271336.1,IG_D_gene,IGHD1OR15-1A
ENSG00000264288,ENSG00000264288.1,miRNA,AL138999.1
ENSG00000265259,ENSG00000265259.1,misc_RNA,RN7SL247P
ENSG00000260753,ENSG00000260753.1,protein_coding,NT5C3B
ENSG00000234340,ENSG00000234340.1,pseudogene,AP000705.8
ENSG00000230490,ENSG00000230490.2,lincRNA,RP11-141M1.3
ENSG00000212051,ENSG00000212051.1,miRNA,MIR320C2
ENSG00000226921,ENSG00000226921.2,lincRNA,LINC00454
ENSG00000264365,ENSG00000264365.1,antisense,RP11-621L6.2
ENSG00000273321,ENSG00000273321.1,lincRNA,RP11-621L6.3
ENSG00000234535,ENSG00000234535.1,lincRNA,RP11-37L2.1
ENSG00000232986,ENSG00000232986.1,lincRNA,RP11-179A7.2
ENSG00000199636,ENSG00000199636.1,misc_RNA,Y_RNA
ENSG00000265094,ENSG00000265094.1,sense_intronic,RP11-178F10.1
ENSG00000252397,ENSG00000252397.1,snRNA,RNU5A-4P
ENSG00000263663,ENSG00000263663.1,miRNA,AL161891.1
ENSG00000227254,ENSG00000227254.1,pseudogene,VDAC1P12
ENSG00000229373,ENSG00000229373.4,lincRNA,LINC00452
ENSG00000199196,ENSG00000199196.1,snoRNA,SNORA25
ENSG00000215405,ENSG00000215405.3,protein_coding,GOLGA6L6
ENSG00000271850,ENSG00000271850.1,lincRNA,RP11-16D22.2
ENSG00000225179,ENSG00000225179.1,lincRNA,LINC00457
ENSG00000231136,ENSG00000231136.1,pseudogene,AP000705.6
ENSG00000260910,ENSG00000260910.1,lincRNA,LINC00565
ENSG00000271901,ENSG00000271901.1,lincRNA,RP11-266E6.3
ENSG00000202339,ENSG00000202339.1,snRNA,RNU4-45P
ENSG00000232487,ENSG00000232487.1,sense_intronic,RASA3-IT1
ENSG00000226043,ENSG00000226043.1,lincRNA,AP000705.7
ENSG00000231910,ENSG00000231910.1,pseudogene,GAMTP2
ENSG00000264539,ENSG00000264539.1,miRNA,MIR548AR
ENSG00000261728,ENSG00000261728.1,lincRNA,RP11-307O13.1
ENSG00000223488,ENSG00000223488.2,pseudogene,MAPK6PS2
ENSG00000265450,ENSG00000265450.1,miRNA,MIR4502
ENSG00000232795,ENSG00000232795.1,pseudogene,SCAND3P1
ENSG00000226158,ENSG00000226158.1,pseudogene,CLCP2
ENSG00000234835,ENSG00000234835.1,pseudogene,PHBP13
ENSG00000229723,ENSG00000229723.1,antisense,LINC01054
ENSG00000268343,ENSG00000268343.1,protein_coding,AC012414.1
ENSG00000221519,ENSG00000221519.1,miRNA,AL390071.1
ENSG00000236036,ENSG00000236036.1,lincRNA,LINC00445
ENSG00000207203,ENSG00000207203.1,snRNA,RNU6-71P
ENSG00000169861,ENSG00000169861.8,IG_V_gene,IGHV1OR21-1
ENSG00000266047,ENSG00000266047.1,miRNA,AL139377.1
ENSG00000223383,ENSG00000223383.1,pseudogene,HIST1H2APS6
ENSG00000222602,ENSG00000222602.1,miRNA,AL136160.1
ENSG00000235306,ENSG00000235306.2,pseudogene,GAPDHP34
ENSG00000223543,ENSG00000223543.1,pseudogene,TCEAL4P1
ENSG00000215486,ENSG00000215486.4,pseudogene,ARL2BPP3
ENSG00000261631,ENSG00000261631.1,protein_coding,KLHL10
ENSG00000230031,ENSG00000230031.6,protein_coding,POTEB2
ENSG00000271337,ENSG00000271337.1,pseudogene,NDE1P2
ENSG00000236711,ENSG00000236711.2,sense_intronic,SMAD9-AS1
ENSG00000228825,ENSG00000228825.1,pseudogene,LAMTOR3P1
ENSG00000232378,ENSG00000232378.1,pseudogene,RPL29P28
ENSG00000226161,ENSG00000226161.1,pseudogene,EIF4A1P5
ENSG00000221100,ENSG00000221100.1,miRNA,AL138706.1
ENSG00000202395,ENSG00000202395.1,misc_RNA,RN7SKP1
ENSG00000230283,ENSG00000230283.1,pseudogene,RPS12P24
ENSG00000234034,ENSG00000234034.1,lincRNA,AP000959.2
ENSG00000230390,ENSG00000230390.1,lincRNA,LINC01048
